,Number1,Number2,Number3,Number4
1502,one,,,
1503,,,,
1504,,,,
1505,,,,
1506,,,,
1507,,,,
1508,,,,
1509,,,,
1510,,,,
1511,,,,
1512,one,,,
1513,,,,
1514,,,,
1515,,,,
1516,one,,,
1517,,,,
1518,,,,
1519,ten,ten,one,
1520,one,ten,two,one
1521,one,,,
1522,,,,
1523,,,,
1524,,,,
1525,,,,
1526,six,two,one,
1527,,,,
1528,,,,
1529,,,,
1530,,,,
1531,,,,
1532,,,,
1533,one,,,
1534,three,ten,,
1535,one,,,
1536,,,,
1537,,,,
1538,,,,
1539,,,,
1540,,,,
1541,,,,
1542,,,,
1543,one,,,
1544,,,,
1545,two,one,,
1546,,,,
1547,,,,
1548,,,,
1549,,,,
1550,,,,
1551,,,,
1552,ten,,,
1553,,,,
1554,,,,
1555,,,,
1556,,,,
1557,,,,
1558,,,,
1559,,,,
1560,,,,
1561,ten,,,
1562,ten,,,
1563,two,,,
1564,,,,
1565,,,,
1566,,,,
1567,,,,
1568,,,,
1569,,,,
1570,,,,
1571,one,two,,
1572,,,,
1573,,,,
1574,ten,two,one,
1575,,,,
1576,,,,
1577,ten,one,one,
1578,,,,
1579,,,,
1580,one,ten,,
1581,one,,,
1582,,,,
1583,,,,
1584,,,,
1585,,,,
1586,,,,
1587,one,,,
1588,one,one,,
1589,,,,
1590,,,,
1591,,,,
1592,ten,,,
1593,ten,ten,,
1594,,,,
1595,,,,
1596,,,,
1597,,,,
1598,two,,,
1599,,,,
1600,ten,,,
1601,,,,
1602,one,one,one,
1603,ten,ten,,
1604,,,,
1605,,,,
1606,,,,
1607,three,,,
1608,one,,,
1609,,,,
1610,one,,,
1611,,,,
1612,,,,
1613,,,,
1614,one,,,
1615,,,,
1616,,,,
1617,,,,
1618,,,,
1619,one,,,
1620,,,,
1621,,,,
1622,,,,
1623,,,,
1624,,,,
1625,one,one,,
1626,,,,
1627,,,,
1628,four,,,
1629,one,,,
1630,,,,
1631,one,one,,
1632,ten,,,
1633,,,,
1634,,,,
1635,,,,
1636,,,,
1637,,,,
1638,,,,
1639,,,,
1640,,,,
1641,ten,,,
1642,,,,
1643,ten,one,,
1644,ten,one,,
1645,two,,,
1646,one,,,
1647,,,,
1648,,,,
1649,two,,,
1650,,,,
1651,,,,
1652,,,,
1653,,,,
1654,,,,
1655,,,,
1656,,,,
1657,ten,,,
1658,,,,
1659,,,,
1660,,,,
1661,,,,
1662,,,,
1663,,,,
1664,,,,
1665,one,,,
1666,,,,
1667,,,,
1668,ten,,,
1669,two,,,
1670,,,,
1671,,,,
1672,,,,
1673,,,,
1674,,,,
1675,,,,
1676,,,,
1677,one,,,
1678,ten,,,
1679,,,,
1680,,,,
1681,,,,
1682,,,,
1683,,,,
1684,,,,
1685,,,,
1686,,,,
1687,,,,
1688,,,,
1689,,,,
1690,,,,
1691,,,,
1692,,,,
1693,two,,,
1694,one,,,
1695,ten,,,
1696,one,,,
1697,,,,
1698,,,,
1699,one,,,
1700,,,,
1701,,,,
1702,,,,
1703,,,,
1704,two,one,one,
1705,,,,
1706,,,,
1707,,,,
1708,,,,
1709,,,,
1710,,,,
1711,,,,
1712,,,,
1713,ten,ten,,
1714,ten,,,
1715,,,,
1716,ten,,,
1717,,,,
1718,one,ten,,
1719,,,,
1720,one,,,
1721,one,,,
1722,,,,
1723,ten,,,
1724,,,,
1725,,,,
1726,,,,
1727,ten,,,
1728,,,,
1729,,,,
1730,two,two,,
1731,,,,
1732,,,,
1733,one,one,,
1734,,,,
1735,one,one,two,one
1736,,,,
1737,,,,
1738,one,,,
1739,,,,
1740,,,,
1741,two,,,
1742,,,,
1743,one,one,,
1744,,,,
1745,,,,
1746,ten,,,
1747,,,,
1748,,,,
1749,,,,
1750,,,,
1751,five,,,
1752,,,,
1753,,,,
1754,,,,
1755,,,,
1756,one,one,,
1757,,,,
1758,,,,
1759,,,,
1760,,,,
1761,,,,
1762,,,,
1763,,,,
1764,,,,
1765,ten,one,one,one
1766,,,,
1767,,,,
1768,,,,
1769,,,,
1770,,,,
1771,,,,
1772,,,,
1773,,,,
1774,,,,
1775,,,,
1776,,,,
1777,,,,
1778,,,,
1779,one,,,
1780,,,,
1781,one,,,
1782,,,,
1783,,,,
1784,,,,
1785,ten,,,
1786,,,,
1787,,,,
1788,one,,,
1789,,,,
1790,,,,
1791,,,,
1792,,,,
1793,one,,,
1794,,,,
1795,,,,
1796,,,,
1797,one,,,
1798,,,,
1799,,,,
1800,four,,,
1801,three,two,,
1802,,,,
1803,,,,
1804,,,,
1805,one,,,
1806,ten,,,
1807,ten,ten,,
1808,ten,,,
1809,,,,
1810,three,three,,
1811,three,three,,
1812,,,,
1813,,,,
1814,one,,,
1815,,,,
1816,,,,
1817,,,,
1818,,,,
1819,one,,,
1820,,,,
1821,,,,
1822,one,,,
1823,,,,
1824,,,,
1825,,,,
1826,two,one,,
1827,,,,
1828,,,,
1829,one,,,
1830,,,,
1831,,,,
1832,,,,
1833,,,,
1834,,,,
1835,one,,,
1836,,,,
1837,,,,
1838,,,,
1839,,,,
1840,,,,
1841,one,one,,
1842,,,,
1843,two,one,,
1844,,,,
1845,,,,
1846,,,,
1847,,,,
1848,two,,,
1849,,,,
1850,one,,,
1851,,,,
1852,,,,
1853,one,,,
1854,,,,
1855,one,,,
1856,,,,
1857,,,,
1858,,,,
1859,,,,
1860,,,,
1861,,,,
1862,,,,
1863,ten,,,
1864,,,,
1865,,,,
1866,,,,
1867,,,,
1868,,,,
1869,,,,
1870,,,,
1871,two,,,
1872,,,,
1873,,,,
1874,,,,
1875,,,,
1876,three,two,one,
1877,ten,,,
1878,,,,
1879,two,one,,
1880,ten,ten,,
1881,,,,
1882,,,,
1883,,,,
1884,,,,
1885,,,,
1886,,,,
1887,,,,
1888,,,,
1889,four,one,four,one
1890,,,,
1891,,,,
1892,,,,
1893,,,,
1894,,,,
1895,,,,
1896,,,,
1897,,,,
1898,,,,
1899,,,,
1900,,,,
1901,,,,
1902,,,,
1903,,,,
1904,,,,
1905,,,,
1906,,,,
1907,one,,,
1908,one,,,
1909,ten,,,
1910,ten,,,
1911,one,,,
1912,one,,,
1913,five,two,two,
1914,,,,
1915,five,,,
1916,one,,,
1917,,,,
1918,two,,,
1919,one,one,two,
1920,,,,
1921,,,,
1922,,,,
1923,,,,
1924,,,,
1925,,,,
1926,,,,
1927,,,,
1928,ten,,,
1929,,,,
1930,one,,,
1931,one,ten,,
1932,one,one,,
1933,,,,
1934,,,,
1935,,,,
1936,,,,
1937,,,,
1938,,,,
1939,ten,,,
1940,one,one,one,
1941,ten,one,one,ten
1942,ten,,,
1943,,,,
1944,one,,,
1945,two,one,,
1946,two,,,
1947,one,,,
1948,,,,
1949,,,,
1950,,,,
1951,,,,
1952,,,,
1953,,,,
1954,ten,ten,one,
1955,,,,
1956,,,,
1957,,,,
1958,,,,
1959,ten,,,
1960,ten,,,
1961,,,,
1962,,,,
1963,,,,
1964,three,,,
1965,,,,
1966,,,,
1967,one,one,one,
1968,,,,
1969,one,,,
1970,one,one,two,one
1971,two,one,one,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,two,two,,
1980,,,,
1981,,,,
1982,,,,
1983,one,,,
1984,,,,
